,id,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude_x,longitude_x,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,instant_bookable,calculated_host_listings_count,historic site,museum,metro,music venue,perfomring arts venue,college and university,food,nightlife spot,outdoors and recreation,government building,clothing store,popular,days_being_host,days_since_first_review,days_since_last_review,name_word_count,name_neutral_sentiment,name_negative_sentiment,name_positive_sentiment,name_compound_sentiment,description_word_count,description_neutral_sentiment,description_negative_sentiment,description_positive_sentiment,description_compound_sentiment,neighborhood_overview_word_count,neighborhood_overview_neutral_sentiment,neighborhood_overview_negative_sentiment,neighborhood_overview_positive_sentiment,neighborhood_overview_compound_sentiment,host_about_word_count,host_about_neutral_sentiment,host_about_negative_sentiment,host_about_positive_sentiment,host_about_compound_sentiment,wifi,smoke alarm,essentials,heating,air conditioning,hangers,iron,kitchen,long term stays allowed,hair dryer,carbon monoxide alarm,hot water,shampoo,dedicated workspace,dishes and silverware,microwave,washer,dryer,fire extinguisher,refrigerator,coffee maker,cooking basics,private entrance,bed linens,stove,oven,free street parking,dishwasher,first aid kit,extra pillows and blankets,tv,patio or balcony
0,3686,4645,within a day,0.8,0.75,0,1,1,Historic Anacostia,38.86339,-76.98889,Private room,1,1.0,1.0,1.0,"['First aid kit', 'Long term stays allowed', 'Patio or balcony', 'Extra pillows and blankets', 'Smoke alarm', 'Shampoo', 'Refrigerator', 'Heating', 'Indoor fireplace', 'Hot water', 'Stove', 'Hangers', 'Washer', 'Bed linens', 'Oven', 'Kitchen', 'Carbon monoxide alarm', 'Essentials', 'Coffee maker', 'Dishwasher', 'Dishes and silverware', 'Free street parking', 'Microwave', 'Wifi', 'Cooking basics', 'Backyard', 'Dryer']",55.0,2,365,2.0,365.0,1,31,61,336,0,2,1,2,1,0,3,10,25,5,28,21,5,0,4610,2576,180,3,1.0,0.0,0.0,0.0,164,0.867,0.016,0.117,0.923,25,0.846,0.0,0.154,0.6369,180,0.818,0.0,0.182,0.9828,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
1,7103,17633,within an hour,1.0,0.93,0,1,1,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91999,-77.09774,Entire home/apt,2,1.0,1.0,2.0,"['Cooking basics', 'First aid kit', 'Lockbox', 'Dedicated workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Extra pillows and blankets', 'Smoke alarm', 'Cable TV', 'Shampoo', 'Refrigerator', 'Cleaning before checkout', 'Iron', 'Private entrance', 'Shower gel', 'Heating', 'Fire extinguisher', 'Air conditioning', 'Hot water', 'Hangers', 'BBQ grill', 'Bed linens', 'TV with standard cable', 'Kitchen', 'Carbon monoxide alarm', 'Essentials', 'Coffee maker', 'Hair dryer', 'Dishes and silverware', 'Free street parking', 'Microwave', 'Wifi', 'Washer', 'Backyard', 'Dryer']",97.0,7,200,7.0,1125.0,9,20,50,140,0,43,2,1,0,0,1,40,18,4,29,6,0,1,4437,1912,16,6,0.325,0.0,0.675,0.8519,169,0.828,0.0,0.172,0.9806,157,0.823,0.029,0.148,0.9657,210,0.801,0.006,0.192,0.9911,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0
2,9641,32067,within a day,1.0,0.35,0,1,1,"Dupont Circle, Connecticut Avenue/K Street",38.90927,-77.03471,Entire home/apt,4,1.0,1.0,2.0,"['Cooking basics', 'Lockbox', 'Dedicated workspace', 'Long term stays allowed', 'Patio or balcony', 'Smoke alarm', 'Cable TV', 'Shampoo', 'Refrigerator', 'Iron', 'Paid parking off premises', 'Heating', 'Indoor fireplace', 'Air conditioning', 'Hot water', 'Stove', 'Hangers', 'Oven', 'TV with standard cable', 'Kitchen', 'Carbon monoxide alarm', 'Essentials', 'Coffee maker', 'Hair dryer', 'Dishwasher', 'Dishes and silverware', 'Free street parking', 'Wifi', 'Washer', 'Dryer']",185.0,2,180,2.0,180.0,17,47,76,76,0,2,36,28,2,15,46,44,50,50,45,48,47,0,4346,2223,19,4,0.455,0.0,0.545,0.5574,174,0.884,0.0,0.116,0.9686,117,0.914,0.0,0.086,0.775,53,0.748,0.0,0.252,0.926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1
3,11785,32015,within an hour,1.0,1.0,0,1,1,"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591,Entire home/apt,4,1.0,1.0,3.0,"['Cooking basics', 'Dedicated workspace', 'Long term stays allowed', 'Patio or balcony', 'Luggage dropoff allowed', 'Extra pillows and blankets', 'Pack \\u2019n Play/travel crib', 'Smoke alarm', 'Refrigerator', 'Bathtub', 'Iron', 'Children\\u2019s books and toys', 'Private entrance', 'Heating', 'Fire extinguisher', 'Freezer', 'Air conditioning', 'Hot water', 'Stove', 'Hangers', 'Rice maker', 'BBQ grill', 'Baking sheet', 'Bed linens', 'Oven', 'Kitchen', 'Carbon monoxide alarm', 'Host greets you', 'Essentials', 'Coffee maker', 'Hair dryer', 'Dishwasher', 'Dishes and silverware', 'Microwave', 'Wifi', 'Washer', 'Backyard', 'Dryer']",125.0,1,365,1.0,1125.0,12,42,72,347,1,4,5,0,0,1,4,17,48,27,44,24,2,0,4347,3929,23,3,1.0,0.0,0.0,0.0,193,0.88,0.067,0.053,-0.5788,176,0.837,0.008,0.155,0.9826,141,0.836,0.0,0.164,0.9689,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
4,12442,32015,within an hour,1.0,1.0,0,1,1,"Cathedral Heights, McLean Gardens, Glover Park",38.92756,-77.07667,Private room,2,1.5,1.0,1.0,"['Cooking basics', 'Dedicated workspace', 'Long term stays allowed', 'Patio or balcony', 'Luggage dropoff allowed', 'Extra pillows and blankets', 'Smoke alarm', 'Refrigerator', 'Iron', 'Piano', 'Heating', 'Fire extinguisher', 'Indoor fireplace', 'Air conditioning', 'Hot water', 'Stove', 'Hangers', 'BBQ grill', 'Baking sheet', 'Bed linens', 'Oven', 'Kitchen', 'Carbon monoxide alarm', 'Host greets you', 'Essentials', 'Coffee maker', 'Hair dryer', 'Dishwasher', 'Dishes and silverware', 'Microwave', 'Barbecue utensils', 'Wifi', 'Washer', 'Backyard', 'Dryer']",61.0,1,365,1.0,1125.0,19,49,79,354,1,4,5,0,0,1,4,17,48,27,44,24,2,0,4347,2121,28,4,1.0,0.0,0.0,0.0,185,0.775,0.049,0.177,0.98,81,0.74,0.04,0.22,0.9435,141,0.836,0.0,0.164,0.9689,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
5,13744,53927,within a day,1.0,0.5,0,1,1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,Entire home/apt,4,1.0,1.0,2.0,"['Cooking basics', 'First aid kit', 'Lockbox', 'Dedicated workspace', 'Luggage dropoff allowed', 'Smoke alarm', 'Cable TV', 'Shampoo', 'Refrigerator', 'Iron', 'Children\\u2019s books and toys', 'Heating', 'Fire extinguisher', 'Air conditioning', 'Hot water', 'Stove', 'Hangers', 'TV with standard cable', 'Paid parking on premises', 'Kitchen', 'Carbon monoxide alarm', 'Essentials', 'Coffee maker', 'Hair dryer', 'Dishes and silverware', 'Free street parking', 'Microwave', 'Wifi', 'Washer', 'Dryer']",125.0,4,14,4.0,1125.0,4,4,9,93,0,1,7,2,3,22,23,50,50,50,46,39,29,0,4258,1552,99,8,1.0,0.0,0.0,0.0,192,0.829,0.05,0.121,0.9337,53,0.773,0.033,0.193,0.8779,157,0.756,0.009,0.235,0.9897,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0
6,14218,32015,within an hour,1.0,1.0,0,1,1,"Cathedral Heights, McLean Gardens, Glover Park",38.92668,-77.07686,Private room,2,1.5,1.0,1.0,"['Cooking basics', 'Dedicated workspace', 'Long term stays allowed', 'Patio or balcony', 'Luggage dropoff allowed', 'Extra pillows and blankets', 'Smoke alarm', 'Cable TV', 'Refrigerator', 'Iron', 'Heating', 'Fire extinguisher', 'Indoor fireplace', 'Air conditioning', 'Hot water', 'Stove', 'Hangers', 'Lock on bedroom door', 'BBQ grill', 'Bed linens', 'Oven', 'TV with standard cable', 'Kitchen', 'Carbon monoxide alarm', 'Host greets you', 'Essentials', 'Coffee maker', 'Hair dryer', 'Dishwasher', 'Dishes and silverware', 'Microwave', 'Wifi', 'Washer', 'Backyard', 'Dryer']",60.0,1,365,1.0,1125.0,15,44,74,349,1,4,5,0,0,1,4,17,48,27,44,24,2,0,4347,2245,84,6,0.615,0.0,0.385,0.3612,167,0.802,0.056,0.141,0.9485,0,0.0,0.0,0.0,0.0,141,0.836,0.0,0.164,0.9689,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
7,16684,64814,within an hour,1.0,1.0,1,1,1,"Union Station, Stanton Park, Kingman Park",38.89868,-77.00227,Entire home/apt,2,1.0,1.0,1.0,"['Cooking basics', 'First aid kit', 'Dedicated workspace', 'Keypad', 'Long term stays allowed', 'Patio or balcony', 'Luggage dropoff allowed', 'Extra pillows and blankets', 'Smoke alarm', 'Cable TV', 'Shampoo', 'Refrigerator', 'Iron', 'Private entrance', 'Heating', 'Fire extinguisher', 'Indoor fireplace', 'Air conditioning', 'Hot water', 'Stove', 'Hangers', 'BBQ grill', 'Bed linens', 'Oven', 'TV with standard cable', 'Kitchen', 'Carbon monoxide alarm', 'Essentials', 'Coffee maker', 'Hair dryer', 'Dishwasher', 'Dishes and silverware', 'Microwave', 'Free street parking', 'Wifi', 'Washer', 'Backyard', 'Dryer']",95.0,12,365,31.0,1125.0,2,32,33,287,0,1,4,5,3,4,20,47,50,48,46,50,34,1,4220,2906,50,4,1.0,0.0,0.0,0.0,179,0.791,0.053,0.156,0.9685,101,0.852,0.09,0.058,-0.3122,205,0.767,0.006,0.227,0.9942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
8,17131,32015,within an hour,1.0,1.0,0,1,1,"Cathedral Heights, McLean Gardens, Glover Park",38.92644,-77.07646,Private room,2,1.5,1.0,1.0,"['Cooking basics', 'Dedicated workspace', 'Long term stays allowed', 'Patio or balcony', 'Luggage dropoff allowed', 'Extra pillows and blankets', 'Smoke alarm', 'Cable TV', 'Refrigerator', 'Iron', 'Heating', 'Fire extinguisher', 'Indoor fireplace', 'Air conditioning', 'Hot water', 'Stove', 'Hangers', 'Lock on bedroom door', 'BBQ grill', 'Bed linens', 'Oven', 'TV with standard cable', 'Kitchen', 'Carbon monoxide alarm', 'Host greets you', 'Essentials', 'Coffee maker', 'Hair dryer', 'Dishwasher', 'Dishes and silverware', 'Microwave', 'Wifi', 'Washer', 'Backyard', 'Dryer']",62.0,1,365,1.0,1125.0,18,48,78,353,1,4,5,0,0,1,4,17,48,27,44,24,2,0,4347,2423,21,5,1.0,0.0,0.0,0.0,187,0.913,0.0,0.087,0.9325,0,0.0,0.0,0.0,0.0,141,0.836,0.0,0.164,0.9689,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
9,20067,75938,within an hour,1.0,1.0,0,1,0,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92491,-77.06754,Private room,2,1.0,1.0,1.0,"['Single level home', 'Dedicated workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Extra pillows and blankets', 'Smoke alarm', 'Shampoo', 'Private entrance', 'Heating', 'Air conditioning', 'Mini fridge', 'Hot water', 'Hangers', 'Bed linens', 'Carbon monoxide alarm', 'Host greets you', 'Essentials', 'Hair dryer', 'Wifi', 'Iron', 'Free parking on premises']",52.0,3,31,3.4,1125.0,0,1,6,6,0,1,7,0,2,3,4,10,50,19,46,23,7,0,4179,1555,21,7,0.645,0.0,0.355,0.5106,132,0.92,0.0,0.08,0.9022,44,1.0,0.0,0.0,0.0,13,0.724,0.0,0.276,0.6369,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
